source,target,before,after
public/marketing/home/alert-emily-carter.png,public/marketing/home/alert-emily-carter.webp,2159334,6246
public/marketing/home/alert-robert-hayes.png,public/marketing/home/alert-robert-hayes.webp,1944448,5114
public/marketing/home/customer-avatar.png,public/marketing/home/customer-avatar.webp,2214757,9346
public/marketing/home/hero-local-owner.png,public/marketing/home/hero-local-owner.webp,2250098,94262
public/marketing/home/storefront.png,public/marketing/home/storefront.webp,1039509,222534
public/marketing/home/testimonial-1.png,public/marketing/home/testimonial-1.webp,2378094,9274
public/marketing/home/testimonial-2.png,public/marketing/home/testimonial-2.webp,2063116,6966
public/marketing/home/testimonial-3.png,public/marketing/home/testimonial-3.webp,2314282,7714
public/marketing/home/zyene-overview-cover.png,public/marketing/home/zyene-overview-cover.webp,524534,40430
public/marketing/about/team-collaboration.png,public/marketing/about/team-collaboration.webp,896201,150242
public/images/blog/covers/ai-review-reply-oversight.jpg,public/images/blog/covers/ai-review-reply-oversight.webp,291039,96556
public/images/blog/covers/ai-visibility-audit.jpg,public/images/blog/covers/ai-visibility-audit.webp,313517,106048
public/images/blog/covers/birdeye-alternatives-cost-comparison.jpg,public/images/blog/covers/birdeye-alternatives-cost-comparison.webp,303909,103226
public/images/blog/covers/delete-google-review-hero.jpg,public/images/blog/covers/delete-google-review-hero.webp,741432,84676
public/images/blog/covers/dental-practice-reputation.jpg,public/images/blog/covers/dental-practice-reputation.webp,253044,78702
public/images/blog/covers/fake-review-evidence.jpg,public/images/blog/covers/fake-review-evidence.webp,326040,107298
public/images/blog/covers/five-star-review-collection.jpg,public/images/blog/covers/five-star-review-collection.webp,781316,113070
public/images/blog/covers/google-business-profile-audit.jpg,public/images/blog/covers/google-business-profile-audit.webp,327379,117086
public/images/blog/covers/google-review-policy-research.jpg,public/images/blog/covers/google-review-policy-research.webp,669681,74512
public/images/blog/covers/google-review-request-playbook.jpg,public/images/blog/covers/google-review-request-playbook.webp,329077,108892
public/images/blog/covers/local-map-pack-visibility.jpg,public/images/blog/covers/local-map-pack-visibility.webp,360748,132184
public/images/blog/covers/online-reputation-business-impact.jpg,public/images/blog/covers/online-reputation-business-impact.webp,274922,87212
public/images/blog/covers/positive-google-review-response.jpg,public/images/blog/covers/positive-google-review-response.webp,305119,110560
public/images/blog/covers/private-feedback-service-recovery.jpg,public/images/blog/covers/private-feedback-service-recovery.webp,298638,90754
public/images/blog/covers/reporting-google-review-laptop.jpg,public/images/blog/covers/reporting-google-review-laptop.webp,647414,63700
public/images/blog/covers/reputation-dashboard-overview.jpg,public/images/blog/covers/reputation-dashboard-overview.webp,703983,85934
public/images/blog/covers/responding-to-negative-review.jpg,public/images/blog/covers/responding-to-negative-review.webp,762507,98336
public/images/blog/covers/responding-to-one-star-review.jpg,public/images/blog/covers/responding-to-one-star-review.webp,225225,62620
public/images/blog/covers/restaurant-review-management.jpg,public/images/blog/covers/restaurant-review-management.webp,375726,130402
public/images/blog/covers/review-software-pricing-comparison.jpg,public/images/blog/covers/review-software-pricing-comparison.webp,265071,81204
public/images/blog/covers/team-review-management.jpg,public/images/blog/covers/team-review-management.webp,760645,99324
public/images/blog/covers/why-google-reviews-matter.jpg,public/images/blog/covers/why-google-reviews-matter.webp,311710,108356
