surface,route,coverage,result,limits
public sitemap,https://www.zyenereviews.com/,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/about,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/contact,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/pricing,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/features,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/features/review-monitoring,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/features/ai-replies,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/features/review-collection,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/features/competitor-tracking,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/features/local-seo,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/features/analytics,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/how-it-works,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/integrations,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/industries,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/industries/restaurants,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/industries/dental,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/industries/auto-repair,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/industries/salons,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/industries/home-services,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/industries/medical,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/industries/hotels,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/industries/fitness,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/compare,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/compare/birdeye,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/compare/podium,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/compare/nicejob,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/compare/gatherup,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/compare/prosperly,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/how-to-get-50-google-reviews-in-30-days,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/why-google-reviews-matter-in-2026,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/birdeye-pricing-breakdown-2026,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/birdeye-alternatives-for-local-businesses,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/how-to-respond-to-a-1-star-review,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/ai-reply-mistakes-to-avoid,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/google-business-profile-optimization-checklist,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/how-reviews-impact-local-map-pack-ranking,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/restaurant-owners-guide-to-google-reviews,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/dental-practice-reputation-management-2026,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/true-cost-of-bad-online-reputation,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/how-to-handle-fake-google-reviews,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/negative-feedback-shield,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/ai-visibility-audit-local-businesses,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/how-to-respond-to-a-positive-review,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/how-to-get-a-google-review-link,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/blog/can-you-delete-a-google-review,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/resources,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/resources/google-reviews-guide,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/resources/negative-review-templates,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/resources/local-seo-checklist,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/resources/review-request-templates,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/getting-started,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/reviews,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/campaigns,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/analytics,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
public sitemap,https://www.zyenereviews.com/help/billing,HTTP + rendered-HTML content inventory; manual review varies by page/template,HTTP 200; one H1,Not every editorial link or form action exercised
