path,host,source_template,packet,treatment,redirect_target,browser_observation,implementation_status
/about,marketing,src/app/(marketing)/about/page.tsx,M24a,audience/story,,loaded; automated checks only,planned
/agencies,marketing,src/app/(marketing)/agencies/page.tsx,M24b,audience/story,,loaded; automated checks only,planned
/blog,marketing,src/app/(marketing)/blog/page.tsx,M14,compact directory,,loaded; automated checks only,hero foundation implemented
/blog/ai-reply-mistakes-to-avoid,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/ai-visibility-audit-local-businesses,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/birdeye-alternatives-for-local-businesses,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/birdeye-pricing-breakdown-2026,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/can-you-delete-a-google-review,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/dental-practice-reputation-management-2026,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/google-business-profile-optimization-checklist,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/how-reviews-impact-local-map-pack-ranking,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/how-to-get-50-google-reviews-in-30-days,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,timeout/incomplete,planned
/blog/how-to-get-a-google-review-link,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/how-to-handle-fake-google-reviews,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/how-to-respond-to-a-1-star-review,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/how-to-respond-to-a-positive-review,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/negative-feedback-shield,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/restaurant-owners-guide-to-google-reviews,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/true-cost-of-bad-online-reputation,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/blog/why-google-reviews-matter-in-2026,marketing,src/app/(marketing)/blog/[slug]/page.tsx,M14b,reading,,loaded; automated checks only,planned
/case-studies,marketing,src/app/(marketing)/case-studies/page.tsx,M23,compact directory,,loaded; automated checks only,planned
